license             ,CC0-1.0 ,Unlicense ,WTFPL ,0BSD ,MIT-0 ,Fair ,MIT ,ISC ,FSFAP ,Imlib2 ,BSD-1-Clause ,BSD-2-Clause ,BSD-2-Clause-Patent ,BSD-3-Clause ,BSD-3-Clause-Clear ,NCSA ,BSL-1.0 ,NTP ,Ruby ,UPL-1.0 ,EFL-2.0 ,MirOS ,CC-BY-4.0 ,ClArtistic ,Zlib ,LiLiQ-P-1.1 ,MulanPSL-2.0 ,Apache-2.0 ,Artistic-2.0 ,ECL-2.0 ,AFL-3.0 ,BSD-4-Clause ,AAL ,CDDL-1.0 ,CPAL-1.0 ,EPL-2.0 ,LiLiQ-R-1.1 ,MPL-2.0 ,MS-RL ,NOSL ,OGTSL ,MS-PL ,CC-BY-SA-4.0 ,CECILL-2.1 ,EPL-1.0 ,EUPL-1.1 ,EUPL-1.2 ,LGPL-2.1+ ,LGPL-2.1 ,LGPL-3.0+ ,LGPL-3.0 ,GPL-2.0+ ,GPL-2.0 ,GPL-3.0+ ,GPL-3.0 ,AGPL-3.0+ ,AGPL-3.0 ,SimPL-2.0 ,LiLiQ-Rplus-1.1 ,RPL-1.5 ,NPOSL-3.0 ,MulanPubL-2.0 ,OSL-3.0
BSD-3-Clause        ,      2 ,        2 ,    2 ,   2 ,    2 ,   3 ,  3 ,  3 ,    3 ,     3 ,           3 ,           3 ,                  3 ,           3 ,                 3 ,   3 ,      3 ,  3 ,   3 ,      3 ,      3 ,    3 ,        3 ,         3 ,   3 ,          3 ,           3 ,         3 ,           3 ,      3 ,      3 ,           3 ,  3 ,       3 ,       3 ,      3 ,          3 ,      3 ,    3 ,   3 ,    1 ,    1 ,           1 ,         1 ,      1 ,       1 ,       1 ,        1 ,       1 ,        1 ,       1 ,       1 ,      1 ,       1 ,      1 ,        1 ,       1 ,        1 ,              1 ,      1 ,        1 ,            1 ,      1
BSD-3-Clause-Clear  ,      2 ,        2 ,    2 ,   2 ,    2 ,   3 ,  3 ,  3 ,    3 ,     3 ,           3 ,           3 ,                  3 ,           3 ,                 3 ,   3 ,      3 ,  3 ,   3 ,      3 ,      3 ,    3 ,        3 ,         3 ,   3 ,          3 ,           3 ,         3 ,           3 ,      3 ,      3 ,           3 ,  3 ,       3 ,       3 ,      3 ,          3 ,      3 ,    3 ,   3 ,    1 ,    1 ,           1 ,         1 ,      1 ,       1 ,       1 ,        1 ,       1 ,        1 ,       1 ,       1 ,      1 ,       1 ,      1 ,        1 ,       1 ,        1 ,              1 ,      1 ,        1 ,            1 ,      1
BSD-4-Clause        ,      2 ,        2 ,    2 ,   2 ,    2 ,   2 ,  2 ,  2 ,    2 ,     2 ,           2 ,           2 ,                  2 ,           2 ,                 2 ,   2 ,      2 ,  2 ,   2 ,      2 ,      2 ,    2 ,        2 ,         2 ,   2 ,          2 ,           2 ,         2 ,           2 ,      2 ,      2 ,           3 ,  2 ,       2 ,       2 ,      2 ,          2 ,      2 ,    2 ,   2 ,    0 ,    0 ,           0 ,         0 ,      0 ,       0 ,       0 ,        0 ,       0 ,        0 ,       0 ,       0 ,      0 ,       0 ,      0 ,        0 ,       0 ,        0 ,              0 ,      0 ,        0 ,            0 ,      0
BSL-1.0             ,      2 ,        2 ,    2 ,   2 ,    2 ,   3 ,  3 ,  3 ,    3 ,     3 ,           3 ,           3 ,                  3 ,           3 ,                 3 ,   3 ,      3 ,  3 ,   3 ,      3 ,      3 ,    3 ,        3 ,         3 ,   3 ,          3 ,           3 ,         3 ,           3 ,      3 ,      3 ,           3 ,  3 ,       3 ,       3 ,      3 ,          3 ,      3 ,    3 ,   3 ,    1 ,    1 ,           1 ,         1 ,      1 ,       1 ,       1 ,        1 ,       1 ,        1 ,       1 ,       1 ,      1 ,       1 ,      1 ,        1 ,       1 ,        1 ,              1 ,      1 ,        1 ,            1 ,      1
CC0-1.0             ,      3 ,        3 ,    3 ,   3 ,    3 ,   3 ,  3 ,  3 ,    3 ,     3 ,           3 ,           3 ,                  3 ,           3 ,                 3 ,   3 ,      3 ,  3 ,   3 ,      3 ,      3 ,    3 ,        3 ,         3 ,   3 ,          3 ,           3 ,         3 ,           3 ,      3 ,      3 ,           3 ,  3 ,       3 ,       3 ,      3 ,          3 ,      3 ,    3 ,   3 ,    1 ,    1 ,           1 ,         1 ,      1 ,       1 ,       1 ,        1 ,       1 ,        1 ,       1 ,       1 ,      1 ,       1 ,      1 ,        1 ,       1 ,        1 ,              1 ,      1 ,        1 ,            1 ,      1
CC-BY-4.0           ,      2 ,        2 ,    2 ,   2 ,    2 ,   2 ,  2 ,  2 ,    2 ,     2 ,           2 ,           2 ,                  2 ,           2 ,                 2 ,   2 ,      2 ,  2 ,   2 ,      2 ,      2 ,    2 ,        3 ,         3 ,   3 ,          3 ,           2 ,         3 ,           3 ,      3 ,      3 ,           2 ,  2 ,       3 ,       3 ,      2 ,          3 ,      2 ,    2 ,   3 ,    1 ,    0 ,           1 ,         1 ,      1 ,       1 ,       1 ,        1 ,       1 ,        1 ,       1 ,       1 ,      1 ,       1 ,      1 ,        1 ,       1 ,        1 ,              1 ,      1 ,        1 ,            0 ,      1
CC-BY-SA-4.0        ,      0 ,        0 ,    0 ,   0 ,    0 ,   0 ,  0 ,  0 ,    0 ,     0 ,           0 ,           0 ,                  0 ,           0 ,                 0 ,   0 ,      0 ,  0 ,   0 ,      0 ,      0 ,    0 ,        0 ,         0 ,   0 ,          0 ,           0 ,         0 ,           0 ,      0 ,      0 ,           0 ,  0 ,       0 ,       0 ,      0 ,          0 ,      0 ,    0 ,   0 ,    0 ,    0 ,           3 ,         0 ,      0 ,       0 ,       0 ,        0 ,       0 ,        0 ,       0 ,       0 ,      0 ,       0 ,      0 ,        0 ,       0 ,        0 ,              0 ,      0 ,        0 ,            0 ,      0
CDDL-1.0            ,      2 ,        2 ,    2 ,   2 ,    2 ,   2 ,  2 ,  2 ,    2 ,     2 ,           2 ,           2 ,                  2 ,           2 ,                 2 ,   2 ,      2 ,  2 ,   2 ,      2 ,      2 ,    2 ,        2 ,         2 ,   2 ,          2 ,           2 ,         2 ,           2 ,      2 ,      2 ,           2 ,  2 ,       3 ,       2 ,      2 ,          2 ,      2 ,    2 ,   2 ,    0 ,    0 ,           0 ,         0 ,      0 ,       0 ,       0 ,        0 ,       0 ,        0 ,       0 ,       0 ,      0 ,       0 ,      0 ,        0 ,       0 ,        0 ,              0 ,      0 ,        0 ,            0 ,      0
CECILL-2.1          ,      0 ,        0 ,    0 ,   0 ,    0 ,   0 ,  0 ,  0 ,    0 ,     0 ,           0 ,           0 ,                  0 ,           0 ,                 0 ,   0 ,      0 ,  0 ,   0 ,      0 ,      0 ,    0 ,        0 ,         0 ,   0 ,          0 ,           0 ,         0 ,           0 ,      0 ,      0 ,           0 ,  0 ,       0 ,       0 ,      0 ,          0 ,      0 ,    0 ,   0 ,    0 ,    0 ,           0 ,         3 ,      0 ,       1 ,       1 ,        0 ,       0 ,        0 ,       0 ,       1 ,      1 ,       1 ,      1 ,        1 ,       1 ,        0 ,              0 ,      0 ,        0 ,            0 ,      0
ClArtistic          ,      2 ,        2 ,    2 ,   2 ,    2 ,   2 ,  2 ,  2 ,    2 ,     2 ,           2 ,           2 ,                  2 ,           2 ,                 2 ,   2 ,      2 ,  2 ,   2 ,      2 ,      2 ,    2 ,        3 ,         3 ,   3 ,          3 ,           2 ,         3 ,           3 ,      3 ,      3 ,           2 ,  2 ,       3 ,       3 ,      2 ,          3 ,      2 ,    2 ,   3 ,    1 ,    0 ,           1 ,         1 ,      1 ,       1 ,       1 ,        1 ,       1 ,        1 ,       1 ,       1 ,      1 ,       1 ,      1 ,        1 ,       1 ,        1 ,              1 ,      1 ,        1 ,            0 ,      1
CPAL-1.0            ,      2 ,        2 ,    2 ,   2 ,    2 ,   2 ,  2 ,  2 ,    2 ,     2 ,           2 ,           2 ,                  2 ,           2 ,                 2 ,   2 ,      2 ,  2 ,   2 ,      2 ,      2 ,    2 ,        2 ,         2 ,   2 ,          2 ,           2 ,         2 ,           2 ,      2 ,      2 ,           2 ,  2 ,       2 ,       3 ,      2 ,          2 ,      2 ,    2 ,   2 ,    0 ,    0 ,           0 ,         0 ,      0 ,       0 ,       0 ,        0 ,       0 ,        0 ,       0 ,       0 ,      0 ,       0 ,      0 ,        0 ,       0 ,        0 ,              0 ,      0 ,        0 ,            0 ,      0
ECL-2.0             ,      2 ,        2 ,    2 ,   2 ,    2 ,   2 ,  2 ,  2 ,    2 ,     2 ,           2 ,           2 ,                  2 ,           2 ,                 2 ,   2 ,      2 ,  2 ,   2 ,      2 ,      2 ,    2 ,        2 ,         2 ,   2 ,          2 ,           2 ,         3 ,           3 ,      3 ,      3 ,           2 ,  2 ,       3 ,       3 ,      2 ,          2 ,      2 ,    2 ,   3 ,    0 ,    0 ,           0 ,         0 ,      1 ,       0 ,       0 ,        0 ,       0 ,        1 ,       1 ,       0 ,      0 ,       1 ,      1 ,        1 ,       1 ,        0 ,              0 ,      1 ,        1 ,            0 ,      1
EFL-2.0             ,      2 ,        2 ,    2 ,   2 ,    2 ,   3 ,  3 ,  3 ,    3 ,     3 ,           3 ,           3 ,                  3 ,           3 ,                 3 ,   3 ,      3 ,  3 ,   3 ,      3 ,      3 ,    3 ,        3 ,         3 ,   3 ,          3 ,           3 ,         3 ,           3 ,      3 ,      3 ,           3 ,  3 ,       3 ,       3 ,      3 ,          3 ,      3 ,    3 ,   3 ,    1 ,    1 ,           1 ,         1 ,      1 ,       1 ,       1 ,        1 ,       1 ,        1 ,       1 ,       1 ,      1 ,       1 ,      1 ,        1 ,       1 ,        1 ,              1 ,      1 ,        1 ,            1 ,      1
EPL-1.0             ,      0 ,        0 ,    0 ,   0 ,    0 ,   0 ,  0 ,  0 ,    0 ,     0 ,           0 ,           0 ,                  0 ,           0 ,                 0 ,   0 ,      0 ,  0 ,   0 ,      0 ,      0 ,    0 ,        0 ,         0 ,   0 ,          0 ,           0 ,         0 ,           0 ,      0 ,      0 ,           0 ,  0 ,       0 ,       0 ,      1 ,          0 ,      0 ,    0 ,   0 ,    0 ,    0 ,           0 ,         0 ,      3 ,       0 ,       0 ,        0 ,       0 ,        0 ,       0 ,       0 ,      0 ,       0 ,      0 ,        0 ,       0 ,        0 ,              0 ,      0 ,        0 ,            0 ,      0
EPL-2.0             ,      2 ,        2 ,    2 ,   2 ,    2 ,   2 ,  2 ,  2 ,    2 ,     2 ,           2 ,           2 ,                  2 ,           2 ,                 2 ,   2 ,      2 ,  2 ,   2 ,      2 ,      2 ,    2 ,        2 ,         2 ,   2 ,          2 ,           2 ,         2 ,           2 ,      2 ,      2 ,           2 ,  2 ,       2 ,       2 ,      3 ,          2 ,      2 ,    2 ,   2 ,    0 ,    0 ,           0 ,         0 ,      0 ,       0 ,       0 ,        0 ,       0 ,        0 ,       0 ,       0 ,      0 ,       0 ,      0 ,        0 ,       0 ,        0 ,              0 ,      0 ,        0 ,            0 ,      0
EUPL-1.1            ,      0 ,        0 ,    0 ,   0 ,    0 ,   0 ,  0 ,  0 ,    0 ,     0 ,           0 ,           0 ,                  0 ,           0 ,                 0 ,   0 ,      0 ,  0 ,   0 ,      0 ,      0 ,    0 ,        0 ,         0 ,   0 ,          0 ,           0 ,         0 ,           0 ,      0 ,      0 ,           0 ,  0 ,       0 ,       0 ,      0 ,          0 ,      0 ,    0 ,   0 ,    0 ,    0 ,           0 ,         0 ,      1 ,       3 ,       1 ,        0 ,       0 ,        0 ,       0 ,       1 ,      1 ,       0 ,      0 ,        0 ,       0 ,        0 ,              0 ,      0 ,        0 ,            0 ,      1
EUPL-1.2            ,      0 ,        0 ,    0 ,   0 ,    0 ,   0 ,  0 ,  0 ,    0 ,     0 ,           0 ,           0 ,                  0 ,           0 ,                 0 ,   0 ,      0 ,  0 ,   0 ,      0 ,      0 ,    0 ,        0 ,         0 ,   0 ,          0 ,           0 ,         0 ,           0 ,      0 ,      0 ,           0 ,  0 ,       0 ,       0 ,      0 ,          1 ,      1 ,    0 ,   0 ,    0 ,    0 ,           0 ,         1 ,      1 ,       1 ,       3 ,        1 ,       1 ,        1 ,       1 ,       1 ,      1 ,       1 ,      1 ,        1 ,       1 ,        0 ,              1 ,      0 ,        0 ,            0 ,      1
Fair                ,      2 ,        2 ,    2 ,   2 ,    2 ,   3 ,  3 ,  3 ,    3 ,     3 ,           3 ,           3 ,                  3 ,           3 ,                 3 ,   3 ,      3 ,  3 ,   3 ,      3 ,      3 ,    3 ,        3 ,         3 ,   3 ,          3 ,           3 ,         3 ,           3 ,      3 ,      3 ,           3 ,  3 ,       3 ,       3 ,      3 ,          3 ,      3 ,    3 ,   3 ,    1 ,    1 ,           1 ,         1 ,      1 ,       1 ,       1 ,        1 ,       1 ,        1 ,       1 ,       1 ,      1 ,       1 ,      1 ,        1 ,       1 ,        1 ,              1 ,      1 ,        1 ,            1 ,      1
FSFAP               ,      2 ,        2 ,    2 ,   2 ,    2 ,   3 ,  3 ,  3 ,    3 ,     3 ,           3 ,           3 ,                  3 ,           3 ,                 3 ,   3 ,      3 ,  3 ,   3 ,      3 ,      3 ,    3 ,        3 ,         3 ,   3 ,          3 ,           3 ,         3 ,           3 ,      3 ,      3 ,           3 ,  3 ,       3 ,       3 ,      3 ,          3 ,      3 ,    3 ,   3 ,    1 ,    1 ,           1 ,         1 ,      1 ,       1 ,       1 ,        1 ,       1 ,        1 ,       1 ,       1 ,      1 ,       1 ,      1 ,        1 ,       1 ,        1 ,              1 ,      1 ,        1 ,            1 ,      1
GPL-2.0             ,      0 ,        0 ,    0 ,   0 ,    0 ,   0 ,  0 ,  0 ,    0 ,     0 ,           0 ,           0 ,                  0 ,           0 ,                 0 ,   0 ,      0 ,  0 ,   0 ,      0 ,      0 ,    0 ,        0 ,         0 ,   0 ,          0 ,           0 ,         0 ,           0 ,      0 ,      0 ,           0 ,  0 ,       0 ,       0 ,      0 ,          0 ,      0 ,    0 ,   0 ,    0 ,    0 ,           0 ,         0 ,      0 ,       0 ,       0 ,        0 ,       0 ,        0 ,       0 ,       3 ,      3 ,       0 ,      0 ,        0 ,       0 ,        0 ,              0 ,      0 ,        0 ,            0 ,      0
GPL-2.0+            ,      0 ,        0 ,    0 ,   0 ,    0 ,   0 ,  0 ,  0 ,    0 ,     0 ,           0 ,           0 ,                  0 ,           0 ,                 0 ,   0 ,      0 ,  0 ,   0 ,      0 ,      0 ,    0 ,        0 ,         0 ,   0 ,          0 ,           0 ,         0 ,           0 ,      0 ,      0 ,           0 ,  0 ,       0 ,       0 ,      0 ,          0 ,      0 ,    0 ,   0 ,    0 ,    0 ,           0 ,         0 ,      0 ,       0 ,       0 ,        0 ,       0 ,        0 ,       0 ,       3 ,      3 ,       1 ,      1 ,        2 ,       2 ,        0 ,              0 ,      0 ,        0 ,            0 ,      0
GPL-3.0             ,      0 ,        0 ,    0 ,   0 ,    0 ,   0 ,  0 ,  0 ,    0 ,     0 ,           0 ,           0 ,                  0 ,           0 ,                 0 ,   0 ,      0 ,  0 ,   0 ,      0 ,      0 ,    0 ,        0 ,         0 ,   0 ,          0 ,           0 ,         0 ,           0 ,      0 ,      0 ,           0 ,  0 ,       0 ,       0 ,      0 ,          0 ,      0 ,    0 ,   0 ,    0 ,    0 ,           0 ,         0 ,      0 ,       0 ,       0 ,        0 ,       0 ,        0 ,       0 ,       0 ,      0 ,       3 ,      3 ,        2 ,       2 ,        0 ,              0 ,      0 ,        0 ,            0 ,      0
GPL-3.0+            ,      0 ,        0 ,    0 ,   0 ,    0 ,   0 ,  0 ,  0 ,    0 ,     0 ,           0 ,           0 ,                  0 ,           0 ,                 0 ,   0 ,      0 ,  0 ,   0 ,      0 ,      0 ,    0 ,        0 ,         0 ,   0 ,          0 ,           0 ,         0 ,           0 ,      0 ,      0 ,           0 ,  0 ,       0 ,       0 ,      0 ,          0 ,      0 ,    0 ,   0 ,    0 ,    0 ,           0 ,         0 ,      0 ,       0 ,       0 ,        0 ,       0 ,        0 ,       0 ,       0 ,      0 ,       3 ,      3 ,        2 ,       2 ,        0 ,              0 ,      0 ,        0 ,            0 ,      0
Imlib2              ,      2 ,        2 ,    2 ,   2 ,    2 ,   3 ,  3 ,  3 ,    3 ,     3 ,           3 ,           3 ,                  3 ,           3 ,                 3 ,   3 ,      3 ,  3 ,   3 ,      3 ,      3 ,    3 ,        3 ,         3 ,   3 ,          3 ,           3 ,         3 ,           3 ,      3 ,      3 ,           3 ,  3 ,       3 ,       3 ,      3 ,          3 ,      3 ,    3 ,   3 ,    1 ,    1 ,           1 ,         1 ,      1 ,       1 ,       1 ,        1 ,       1 ,        1 ,       1 ,       1 ,      1 ,       1 ,      1 ,        1 ,       1 ,        1 ,              1 ,      1 ,        1 ,            1 ,      1
ISC                 ,      2 ,        2 ,    2 ,   2 ,    2 ,   3 ,  3 ,  3 ,    3 ,     3 ,           3 ,           3 ,                  3 ,           3 ,                 3 ,   3 ,      3 ,  3 ,   3 ,      3 ,      3 ,    3 ,        3 ,         3 ,   3 ,          3 ,           3 ,         3 ,           3 ,      3 ,      3 ,           3 ,  3 ,       3 ,       3 ,      3 ,          3 ,      3 ,    3 ,   3 ,    1 ,    1 ,           1 ,         1 ,      1 ,       1 ,       1 ,        1 ,       1 ,        1 ,       1 ,       1 ,      1 ,       1 ,      1 ,        1 ,       1 ,        1 ,              1 ,      1 ,        1 ,            1 ,      1
LGPL-2.1            ,      2 ,        2 ,    2 ,   2 ,    2 ,   2 ,  2 ,  2 ,    2 ,     2 ,           2 ,           2 ,                  2 ,           2 ,                 2 ,   2 ,      2 ,  2 ,   2 ,      2 ,      2 ,    2 ,        2 ,         2 ,   2 ,          2 ,           2 ,         2 ,           2 ,      2 ,      2 ,           2 ,  2 ,       2 ,       2 ,      2 ,          2 ,      2 ,    2 ,   2 ,    0 ,    0 ,           0 ,         0 ,      0 ,       0 ,       0 ,        3 ,       3 ,        2 ,       2 ,       3 ,      3 ,       3 ,      3 ,        0 ,       0 ,        0 ,              0 ,      0 ,        0 ,            0 ,      0
LGPL-2.1+           ,      2 ,        2 ,    2 ,   2 ,    2 ,   2 ,  2 ,  2 ,    2 ,     2 ,           2 ,           2 ,                  2 ,           2 ,                 2 ,   2 ,      2 ,  2 ,   2 ,      2 ,      2 ,    2 ,        2 ,         2 ,   2 ,          2 ,           2 ,         2 ,           2 ,      2 ,      2 ,           2 ,  2 ,       2 ,       2 ,      2 ,          2 ,      2 ,    2 ,   2 ,    0 ,    0 ,           0 ,         0 ,      0 ,       0 ,       0 ,        3 ,       3 ,        3 ,       3 ,       3 ,      3 ,       3 ,      3 ,        0 ,       0 ,        0 ,              0 ,      0 ,        0 ,            0 ,      0
LGPL-3.0            ,      2 ,        2 ,    2 ,   2 ,    2 ,   2 ,  2 ,  2 ,    2 ,     2 ,           2 ,           2 ,                  2 ,           2 ,                 2 ,   2 ,      2 ,  2 ,   2 ,      2 ,      2 ,    2 ,        2 ,         2 ,   2 ,          2 ,           2 ,         2 ,           2 ,      2 ,      2 ,           2 ,  2 ,       2 ,       2 ,      2 ,          2 ,      2 ,    2 ,   2 ,    0 ,    0 ,           0 ,         0 ,      0 ,       0 ,       0 ,        2 ,       2 ,        3 ,       3 ,       0 ,      0 ,       3 ,      3 ,        0 ,       0 ,        0 ,              0 ,      0 ,        0 ,            0 ,      0
LGPL-3.0+           ,      2 ,        2 ,    2 ,   2 ,    2 ,   2 ,  2 ,  2 ,    2 ,     2 ,           2 ,           2 ,                  2 ,           2 ,                 2 ,   2 ,      2 ,  2 ,   2 ,      2 ,      2 ,    2 ,        2 ,         2 ,   2 ,          2 ,           2 ,         2 ,           2 ,      2 ,      2 ,           2 ,  2 ,       2 ,       2 ,      2 ,          2 ,      2 ,    2 ,   2 ,    0 ,    0 ,           0 ,         0 ,      0 ,       0 ,       0 ,        2 ,       2 ,        3 ,       3 ,       0 ,      0 ,       3 ,      3 ,        0 ,       0 ,        0 ,              0 ,      0 ,        0 ,            0 ,      0
